2021-12-03	6585
2021-12-07	4639
2021-12-10	5185
2021-12-14	3581
2021-12-18	4104
2021-12-21	2899
2021-12-25	2883
2021-12-29	2370
2022-01-02	7567
2022-01-06	18230
2022-01-13	17873
2022-01-17	17304
2022-01-20	15430
2022-01-24	19112
2022-01-28	17608
2022-01-31	3964
2022-02-03	8585
2022-02-07	22888
2022-02-10	38113
2022-02-14	39330
2022-02-18	44788
2022-02-21	37411
2022-02-25	37697
2022-03-04	24026
2022-03-08	19314
2022-03-11	13131
2022-03-15	10073
2022-03-19	6018
2022-03-22	6903
2022-03-26	4751
2021-12-04	6431
2021-12-08	2104
2021-12-11	5136
2021-12-15	1762
2021-12-19	2546
2021-12-22	1833
2021-12-26	2361
2022-01-03	17927
2022-01-07	20854
2022-01-10	19859
2022-01-14	20000
2022-01-18	15726
2022-01-21	21254
2022-01-25	18397
2022-01-29	14171
2022-02-04	15287
2022-02-08	26629
2022-02-11	39925
2022-02-15	40182
2022-02-19	32732
2022-02-22	40997
2022-02-26	29228
2022-03-01	28223
2022-03-05	22259
2022-03-09	15672
2022-03-12	11471
2022-03-16	8339
2022-03-23	5730
2022-03-27	2893
2022-03-30	3930
2021-12-01	2069
2021-12-05	3939
2021-12-09	4678
2021-12-12	3012
2021-12-16	4279
2021-12-23	4969
2021-12-27	2074
2021-12-30	5620
2022-01-04	18186
2022-01-08	16405
2022-01-11	19128
2022-01-15	16042
2022-01-19	15547
2022-01-22	16714
2022-01-26	16863
2022-02-01	29
2022-02-05	13589
2022-02-09	37339
2022-02-12	28225
2022-02-16	42660
2022-02-23	45450
2022-02-27	19843
2022-03-02	25556
2022-03-06	17039
2022-03-13	8365
2022-03-17	7642
2022-03-20	4053
2022-03-24	5186
2022-03-28	4444
2022-03-31	4285
2021-12-02	5117
2021-12-06	4815
2021-12-13	3932
2021-12-17	4314
2021-12-20	3254
2021-12-24	4031
2021-12-28	4541
2021-12-31	5229
2022-01-01	7137
2022-01-05	18256
2022-01-09	10964
2022-01-12	18098
2022-01-16	10083
2022-01-23	10813
2022-01-27	15108
2022-01-30	9577
2022-02-02	104
2022-02-06	10024
2022-02-13	16463
2022-02-17	42320
2022-02-20	19828
2022-02-24	42634
2022-02-28	31938
2022-03-03	23903
2022-03-07	21272
2022-03-10	14640
2022-03-14	10906
2022-03-18	7556
2022-03-21	6570
2022-03-25	5783
2022-03-29	4191
